N,P,K,temperature,humidity,ph,rainfall,label
25.8,16.3,19.5,22.11,88.81,6.2,115.72,orange
18.7,54.4,17.6,30.98,51.46,4.52,68.49,mothbeans
42.7,68.8,78.7,24.0,17.32,7.91,72.56,chickpea
91.5,41.0,20.2,19.48,58.26,7.01,91.16,maize
17.5,123.2,199.9,32.48,83.87,5.51,86.59,grapes
28.1,72.9,96.0,24.47,17.12,6.31,97.79,chickpea
105.7,63.6,27.1,28.06,67.56,7.99,98.64,cotton
88.8,26.6,57.8,31.29,91.3,6.74,28.36,muskmelon
27.2,148.2,194.0,21.2,77.4,5.86,87.44,grapes
27.7,51.4,20.4,25.81,65.8,7.43,60.43,mungbean
97.0,56.3,35.2,27.92,91.34,6.61,229.45,rice
88.1,51.8,15.2,20.94,62.94,5.68,81.04,maize
19.0,22.5,32.9,19.32,93.59,6.38,107.6,pomegranate
29.2,126.2,203.1,15.87,75.66,6.05,63.15,grapes
70.0,44.7,34.4,31.85,93.88,5.58,255.84,rice
76.9,57.1,19.8,18.99,58.87,6.07,77.78,maize
47.1,57.7,50.1,32.64,94.86,6.26,44.49,papaya
113.4,80.8,57.2,23.53,75.99,5.72,110.23,banana
47.0,72.5,59.5,32.6,93.72,6.97,101.06,papaya
83.9,28.9,59.2,29.93,64.99,6.47,43.3,watermelon
31.8,67.7,82.3,24.08,29.28,7.22,72.37,chickpea
25.4,23.2,38.2,24.27,86.63,7.49,102.38,pomegranate
60.5,63.7,29.8,21.18,57.41,6.2,106.48,maize
23.5,132.1,207.2,18.62,80.44,6.45,78.76,grapes
40.2,62.8,80.4,24.17,20.81,6.94,95.61,chickpea
23.4,139.2,200.7,23.16,91.27,5.5,122.9,apple
89.2,71.4,59.1,30.5,81.51,6.43,147.22,banana
26.6,39.0,28.9,30.94,54.77,4.19,61.04,mothbeans
91.6,58.5,27.3,25.15,79.42,7.46,106.69,cotton
36.3,43.6,24.6,26.51,63.53,3.72,53.19,mothbeans
31.2,39.5,29.0,28.83,81.89,6.03,50.26,mungbean
39.0,75.0,29.0,17.65,27.23,6.18,79.05,kidneybeans
10.9,123.3,193.7,25.08,83.49,5.74,88.05,grapes
69.6,69.7,59.9,24.7,93.76,6.53,111.14,papaya
25.7,75.2,99.3,16.02,15.17,6.87,63.71,chickpea
32.3,70.4,24.8,33.9,73.21,7.35,82.52,blackgram
65.2,36.0,33.4,23.55,69.91,6.46,67.04,maize
95.3,13.5,61.1,31.11,72.03,6.43,62.76,watermelon
73.8,64.3,27.8,25.4,53.31,7.22,115.37,maize
42.6,57.9,50.5,29.53,85.59,6.15,99.66,papaya
53.2,65.8,62.8,33.36,94.78,6.51,106.46,papaya
44.9,73.0,73.4,15.94,33.19,7.34,93.17,chickpea
66.0,41.8,20.0,25.66,64.03,6.55,66.89,maize
107.6,99.1,46.7,31.01,76.89,5.89,168.12,banana
83.4,58.2,41.5,24.66,87.87,6.42,231.84,rice
23.5,58.8,20.9,20.28,55.7,5.13,96.44,pigeonpeas
80.9,43.6,30.9,23.2,65.86,7.1,83.76,maize
116.9,61.2,25.2,28.6,76.27,5.67,89.79,cotton
61.0,33.2,30.6,27.64,81.29,6.52,286.13,rice
89.1,81.7,57.1,29.55,88.52,6.42,162.13,banana
78.1,39.9,30.9,24.24,55.52,5.66,100.83,maize
36.3,61.4,25.0,30.43,84.99,6.19,63.89,blackgram
102.8,62.6,26.5,29.06,73.34,6.06,96.18,cotton
17.6,67.9,18.4,30.16,67.6,7.41,87.18,blackgram
21.8,61.1,19.7,17.42,19.3,5.92,114.47,kidneybeans
86.2,43.2,34.0,19.36,60.81,7.39,85.18,maize
23.2,61.3,22.4,15.2,80.14,6.55,75.44,lentil
91.8,38.1,38.8,20.94,75.51,7.43,275.4,rice
113.9,21.8,42.8,24.17,60.55,6.49,167.06,coffee
21.8,59.7,22.8,29.62,69.43,6.87,76.49,mungbean
16.7,146.0,205.9,20.75,85.84,5.77,108.93,apple
37.5,141.6,197.0,20.87,88.11,6.5,122.47,apple
15.1,21.2,27.4,33.51,54.87,6.64,102.78,mango
24.2,65.7,20.2,25.29,45.42,7.14,145.61,pigeonpeas
95.9,75.1,52.7,30.72,80.45,6.45,175.7,banana
21.4,18.6,6.7,25.65,87.81,7.01,123.2,orange
86.8,17.6,58.1,25.53,91.04,6.93,28.5,muskmelon
19.2,80.1,23.2,20.65,55.21,6.03,156.47,pigeonpeas
18.9,48.2,22.7,26.07,41.08,4.07,42.13,mothbeans
16.7,75.3,17.6,18.45,61.85,6.04,69.58,lentil
94.9,53.9,44.5,23.78,70.43,6.89,193.16,jute
71.1,52.8,33.2,19.9,65.57,6.76,103.99,maize
13.1,25.9,45.7,19.66,87.89,7.41,116.51,pomegranate
70.0,58.8,39.0,24.17,72.2,6.97,171.89,jute
26.0,15.5,6.8,24.91,91.12,7.46,122.84,orange
21.9,13.2,21.8,18.15,90.55,7.44,127.12,orange
26.0,144.3,200.1,22.03,92.46,5.75,126.27,apple
24.5,144.2,203.1,19.37,91.52,5.55,105.41,apple
19.0,26.6,42.4,27.77,99.73,5.65,120.34,coconut
22.6,9.8,10.6,30.27,89.67,6.78,121.72,orange
99.5,41.2,37.4,29.75,93.94,7.47,263.01,rice
97.4,19.3,53.4,31.23,89.37,6.08,29.47,muskmelon
53.6,65.5,63.7,32.14,91.44,6.12,69.9,papaya
28.0,57.2,17.9,33.4,81.75,7.34,63.53,blackgram
107.6,23.7,54.4,25.65,92.91,6.08,20.69,muskmelon
27.1,24.8,29.3,25.87,45.0,6.94,84.44,mango
28.8,72.9,28.1,26.08,42.09,6.91,149.43,pigeonpeas
44.9,48.3,64.4,29.46,86.28,6.35,83.76,papaya
94.6,49.7,48.9,28.17,72.48,6.26,199.45,jute
80.9,51.5,45.0,25.21,76.44,6.46,168.14,jute
20.2,11.0,43.6,31.85,98.15,6.13,160.35,coconut
70.2,60.2,15.8,26.12,61.54,6.77,99.56,maize
37.2,120.8,198.1,15.31,88.71,5.67,107.57,apple
21.5,56.6,25.9,19.7,40.6,6.1,152.09,pigeonpeas
111.2,26.6,44.5,26.28,69.97,6.88,164.32,coffee
62.1,47.6,20.2,24.58,74.53,6.01,99.25,maize
94.5,58.4,37.5,23.25,87.88,6.32,153.81,rice
34.3,64.8,18.6,16.69,83.25,5.76,55.42,lentil
77.3,48.2,27.3,26.49,56.02,5.74,71.85,maize
108.2,42.3,25.5,24.34,81.16,6.47,101.68,cotton
87.2,18.1,62.3,31.57,94.93,6.96,20.06,muskmelon
23.7,78.8,78.3,23.77,33.88,6.3,78.51,chickpea
32.7,64.5,15.8,24.77,55.22,5.33,37.37,mothbeans
41.2,55.0,55.9,23.33,91.43,6.33,90.62,papaya
83.3,25.8,48.4,24.29,58.71,6.77,52.15,watermelon
51.7,54.0,58.3,30.39,90.78,6.11,78.16,papaya
21.9,56.0,21.3,33.95,89.48,6.96,64.85,blackgram
26.0,30.8,40.2,27.84,54.08,6.69,118.96,mango
111.0,24.1,37.6,25.17,69.21,6.25,219.82,coffee
85.8,25.9,26.2,26.81,52.84,7.01,177.38,coffee
21.6,55.2,15.8,24.91,30.14,10.0,62.09,mothbeans
106.6,76.4,53.7,23.98,83.23,5.62,101.85,banana
60.5,49.9,33.6,31.53,77.97,6.33,162.8,rice
44.7,83.7,94.6,15.02,27.73,6.1,70.3,chickpea
22.5,26.6,37.2,21.01,89.1,6.56,118.51,pomegranate
34.7,35.9,29.5,30.27,69.1,6.54,43.32,mungbean
19.1,62.0,15.4,23.35,34.49,5.64,73.89,kidneybeans
110.2,72.7,62.2,30.13,75.5,5.59,103.93,banana
56.5,61.4,62.6,27.84,85.61,6.84,93.92,papaya
18.9,129.3,202.1,18.7,81.27,5.67,61.91,grapes
10.3,19.6,18.9,28.47,87.57,6.89,119.77,orange
14.1,6.5,35.9,29.6,99.98,6.22,209.64,coconut
89.8,31.0,41.4,29.15,92.54,6.18,273.19,rice
21.5,13.3,7.4,20.61,92.25,7.22,103.59,orange
29.6,135.5,208.6,23.15,84.99,6.08,61.27,grapes
75.2,60.9,25.4,22.31,50.64,6.18,82.81,maize
25.3,53.9,25.5,32.11,61.56,7.29,62.91,mungbean
73.5,54.8,34.2,29.65,88.97,6.02,172.02,jute
26.4,55.9,21.0,20.71,88.59,6.53,71.86,lentil
27.7,60.6,16.2,21.96,22.66,6.32,99.57,kidneybeans
25.5,122.6,194.0,16.55,89.82,6.03,128.47,apple
86.2,24.3,61.2,28.17,90.07,6.03,20.69,muskmelon
100.7,32.1,39.6,18.79,54.18,6.47,158.15,coffee
19.9,27.0,47.5,19.19,86.36,6.95,106.02,pomegranate
16.6,126.9,207.8,16.1,76.77,6.05,74.43,grapes
20.0,19.1,36.9,22.86,92.6,7.28,119.46,pomegranate
83.6,84.2,48.9,24.08,84.92,6.41,132.3,banana
93.6,58.6,43.5,24.92,77.2,6.72,180.23,jute
87.8,42.3,33.5,21.88,80.0,6.6,257.19,rice
54.9,70.2,60.2,29.78,94.61,6.19,115.47,papaya
71.4,44.2,31.1,22.85,57.78,6.72,102.97,maize
10.2,28.7,42.6,20.25,87.46,6.01,104.71,pomegranate
24.4,13.8,38.8,18.5,88.9,7.11,107.73,pomegranate
54.6,55.0,58.6,28.02,89.38,6.86,44.01,papaya
22.7,16.0,37.2,25.68,61.61,6.21,91.26,mango
22.2,72.3,16.0,26.91,72.22,7.41,71.32,blackgram
82.6,54.9,38.8,31.64,75.44,7.12,170.95,jute
79.5,38.3,26.0,22.09,71.11,5.7,89.29,maize
46.2,68.2,57.1,28.43,94.13,6.38,57.6,papaya
27.5,82.9,23.7,20.38,73.63,5.92,35.17,lentil
16.4,13.4,35.3,18.25,92.04,6.74,101.88,pomegranate
28.9,79.8,24.5,28.98,50.95,5.74,195.37,pigeonpeas
15.9,135.0,207.1,20.88,87.77,5.9,120.41,apple
20.8,13.5,24.5,24.52,87.54,6.46,118.34,orange
101.1,14.1,62.9,31.43,74.52,6.94,48.16,watermelon
118.2,73.9,58.9,27.06,75.38,6.42,168.15,banana
36.1,67.9,20.7,24.15,20.02,6.34,89.04,kidneybeans
16.4,6.9,28.0,24.36,92.92,7.23,153.94,coconut
31.2,83.6,17.3,24.68,51.06,6.25,134.16,pigeonpeas
30.4,132.7,202.4,18.42,85.29,5.9,127.91,apple
92.6,17.8,39.8,26.8,68.88,6.09,201.79,coffee
22.3,25.2,33.7,30.53,49.67,7.38,103.55,mango
28.8,78.2,85.5,18.48,22.43,6.0,71.99,chickpea
27.1,143.1,191.3,27.42,77.35,6.06,88.71,grapes
75.0,58.5,44.6,27.18,78.12,5.81,158.71,rice
99.6,45.3,33.0,29.42,84.44,7.0,72.09,cotton
97.0,20.4,42.2,23.97,61.83,6.92,200.32,coffee
91.3,25.3,39.7,18.95,55.93,7.39,180.04,coffee
30.9,79.6,15.6,24.97,54.13,5.26,123.85,pigeonpeas
18.2,8.0,28.3,27.57,93.4,6.44,162.92,coconut
25.5,19.5,30.7,29.87,95.89,5.53,210.16,coconut
94.1,39.3,17.1,28.16,67.31,7.61,109.65,cotton
20.0,147.0,195.2,32.36,81.44,5.52,81.74,grapes
90.5,58.9,23.7,25.36,53.01,6.59,60.35,maize
61.1,73.7,50.3,25.48,93.89,6.77,114.12,papaya
64.0,47.0,31.0,19.84,63.88,6.97,96.96,maize
112.4,58.2,33.4,26.27,70.87,7.1,80.79,cotton
23.8,82.3,23.5,28.67,58.41,5.53,137.71,pigeonpeas
20.5,84.0,77.5,21.76,29.13,7.22,72.52,chickpea
37.4,64.2,27.9,26.1,88.42,6.64,40.47,mungbean
85.0,56.6,42.3,22.8,75.49,7.24,153.19,rice
32.8,56.1,73.8,22.66,15.0,6.83,80.9,chickpea
95.3,15.3,63.7,28.21,86.28,6.43,21.27,muskmelon
33.3,73.6,17.8,15.26,20.69,5.94,97.03,kidneybeans
16.0,35.7,26.6,25.08,46.37,7.44,47.13,mothbeans
107.5,47.6,19.1,26.24,78.28,5.68,76.67,cotton
26.6,6.2,8.4,28.53,85.01,6.56,117.52,orange
99.7,13.9,51.1,25.05,62.66,6.2,59.32,watermelon
80.1,47.3,39.9,22.34,89.45,6.06,153.65,rice
65.0,55.6,23.6,19.8,62.29,5.63,94.92,maize
24.9,84.2,23.2,17.75,29.19,5.77,114.25,kidneybeans
26.5,50.9,15.5,29.11,32.85,6.33,41.71,mothbeans
101.6,11.2,54.4,30.62,64.02,6.15,69.55,watermelon
27.1,36.9,23.3,33.41,89.91,6.65,56.01,mungbean
101.7,21.8,39.1,26.26,56.93,6.13,170.74,coffee
15.5,73.1,19.2,23.62,68.5,6.87,65.34,lentil
33.4,74.9,16.7,32.21,75.01,7.34,87.6,blackgram
11.9,19.2,19.7,19.85,87.98,6.94,100.65,orange
90.8,41.9,33.1,28.4,69.54,6.05,103.13,cotton
87.8,16.9,64.8,27.62,92.61,6.45,27.93,muskmelon
115.2,53.7,29.7,25.49,83.89,7.27,81.09,cotton
40.0,64.8,26.2,23.07,32.16,6.5,74.49,kidneybeans
29.9,68.0,17.5,16.17,25.93,6.4,80.64,kidneybeans
13.4,138.0,204.2,21.34,80.4,6.19,72.64,grapes
36.3,62.3,28.1,15.19,81.97,7.37,64.57,lentil
33.2,41.0,20.6,30.02,81.76,6.17,60.32,mungbean
29.3,41.5,27.9,34.42,75.55,6.53,51.7,mungbean
38.9,72.0,22.7,15.85,25.98,5.88,96.43,kidneybeans
14.1,20.5,27.6,24.02,99.32,6.61,212.69,coconut
81.1,56.9,16.6,18.54,56.18,5.82,112.31,maize
25.7,71.2,25.4,22.02,18.43,6.0,84.72,kidneybeans
14.9,28.1,32.1,24.88,93.6,7.03,118.77,pomegranate
32.6,68.7,25.0,23.37,18.39,5.52,106.75,kidneybeans
106.8,14.5,56.1,29.51,86.69,6.98,24.88,muskmelon
23.0,15.6,25.3,25.42,50.03,6.36,99.5,mango
27.5,48.6,26.3,25.06,49.14,7.05,33.58,mothbeans
58.9,61.5,60.7,25.67,86.84,6.05,85.87,papaya
27.3,146.2,200.9,19.81,94.25,6.22,103.35,apple
27.1,70.4,73.1,18.85,24.75,7.3,98.02,chickpea
26.0,21.6,45.5,20.33,93.31,6.41,110.92,pomegranate
63.0,36.1,33.1,28.77,77.98,7.24,153.6,jute
72.1,38.0,28.8,18.56,62.74,7.49,108.84,maize
29.1,79.1,17.1,20.81,25.11,5.64,97.44,kidneybeans
37.8,59.6,26.4,24.39,59.53,6.35,43.7,mothbeans
26.8,69.9,26.0,15.88,80.05,7.29,37.6,lentil
26.1,72.7,75.6,18.32,32.1,6.41,62.85,chickpea
110.1,62.4,34.4,26.97,69.69,5.98,71.15,cotton
26.5,15.9,35.7,26.24,91.63,6.46,166.35,coconut
74.0,36.7,34.4,25.95,73.19,7.49,70.43,maize
103.9,12.5,52.9,26.17,60.83,6.12,64.17,watermelon
25.7,146.7,201.1,34.35,84.96,5.62,85.49,grapes
25.1,40.1,29.7,30.83,47.44,7.42,39.09,mothbeans
28.0,135.2,191.2,24.22,86.77,6.03,124.11,apple
37.3,57.7,20.0,32.44,64.56,6.2,57.28,mungbean
26.2,126.5,206.1,22.99,76.89,6.26,62.73,grapes
27.4,132.8,196.5,21.46,86.31,6.22,129.42,apple
21.5,144.9,193.8,30.69,80.96,6.39,65.16,grapes
27.8,14.8,35.6,18.37,92.96,6.63,104.58,pomegranate
32.7,35.2,22.8,25.38,77.08,7.38,88.42,mungbean
18.2,72.4,25.4,22.01,30.07,6.37,90.0,kidneybeans
89.7,57.4,32.8,29.52,80.29,6.17,182.58,jute
15.2,137.2,204.3,22.45,94.05,5.5,100.01,apple
13.4,120.3,194.7,19.7,79.22,6.42,86.38,grapes
26.5,53.9,23.4,32.43,68.39,6.85,44.41,mungbean
85.9,58.1,33.4,29.76,71.67,6.85,177.59,jute
35.9,67.4,57.7,24.44,86.71,6.87,73.58,papaya
25.4,18.3,9.3,21.87,92.76,7.91,102.37,orange
85.5,46.9,20.5,26.86,60.23,7.29,73.8,maize
17.0,13.6,42.9,21.25,89.95,6.64,119.12,pomegranate
18.4,125.3,208.5,30.25,79.81,6.18,86.92,grapes
14.8,27.3,43.3,27.35,96.57,5.83,163.49,coconut
25.3,56.2,19.1,31.38,63.38,5.56,94.74,pigeonpeas
19.0,17.7,38.6,24.85,85.89,7.38,109.6,pomegranate
93.9,16.5,57.2,31.13,93.84,6.11,24.28,muskmelon
41.9,84.0,76.7,21.63,29.84,7.7,76.91,chickpea
12.6,16.8,18.4,15.63,93.55,7.81,125.51,orange
21.0,20.5,29.9,25.51,61.98,6.73,87.46,mango
31.7,55.4,28.1,29.47,70.29,6.21,73.18,blackgram
35.3,68.2,49.3,24.91,87.75,6.59,92.77,papaya
93.4,52.9,22.1,26.64,71.56,6.51,101.13,cotton
28.5,16.8,27.3,24.36,47.09,5.92,118.8,mango
39.9,55.7,16.7,31.09,84.62,6.43,67.18,blackgram
19.2,65.6,21.0,18.8,50.42,7.15,106.69,pigeonpeas
